User,Comment,VideoID,Likes,Replies
@dottiesullivan6410,Thank you Lord God❤,Ssqy6u1vREw,0.0,0.0
@JobAchankunju,ABC.... don&#39;t cry ...😂😂😂😂,Ssqy6u1vREw,0.0,0.0
@brandong2972,"Man, as a Canadian supporting Trump. Days like this bring me such joy, seeing the absolute tears of bias media. 😂",Ssqy6u1vREw,2.0,0.0
@angelocrisostomo7477,"Congratulations, I want to thank ABC, CBS, CNN, NBC, MSNBC, THE NEW YORK TIMES AND THE WASHINGTON POST for making Donald J Trump so popular. Thank you 🤗",Ssqy6u1vREw,65.0,2.0
@minhkiennguyen,Congratulations to the newly elected president on winning.<br><br><br>US president Donald Trump<br><br><br>Huge great.Victory gop wins<br><br><br><br><br><br>I love Mr. Donald Trump  very much:<br><br>Gentlemen Trump: very handsome and has beautiful white skin.<br><br>He is very great and<br><br>  integrity.<br><br>There is both talent and virtue.<br><br>I have helped you to victory.<br><br>Congratulations Donald Trump on the great victory.<br><br>on the great victory.<br><br>United States senator  Republican Party<br><br>GOP wins,Ssqy6u1vREw,0.0,0.0
@povertyspec9651,"David Muir, you&#39;re fired",Ssqy6u1vREw,1.0,0.0
@jasonmccleaver5810,Cry baby cry😢😢😢😢 liberal mainstream media is ancient history only clicked here to see your reaction😂😂😂😂😂😂,Ssqy6u1vREw,1.0,0.0
@bdavis9876,"First republican to win popular vote in 20 years with no help from the  mainstream media! The citizens did not buy the propaganda by the mainstream media. The citizens did not go woke. The citizens don&#39;t support sending trillions to war while we struggle at home. The citizens want close borders and too toss out the cartels that have entered our country under Biden/Harris. The citizens don&#39;t care about bubble pop music star endorsements or endorsements by old war hawks (the Cheney&#39;s, Bush, Pence, etc..) they care about the issues, like being able to afford to put food on their tables and the cost of living. Well, now this nation can be unburdened by Kammie. Guess she can go back to SF and get a job assisting Pelosi  or maybe take over for mayor London Breed.",Ssqy6u1vREw,1.0,0.0
@WilliamThompson-b1j,A special thanks to the bald headed lady on MSNBC!,Ssqy6u1vREw,0.0,0.0
@tbone1780,Why such the long face.😂🥗🥗🥗🥗🥗🥗🥗🥗🥗🥗🤷‍♀️🥗🥗🥗🥗🥗🥗🥗🥗🥗🥗,Ssqy6u1vREw,1.0,0.0
@TrumpGirl8713,Americans said NO to the woke bullshit !!!,Ssqy6u1vREw,1.0,0.0
@lauram3115,"I think the mainstream media should be held accountable for their blatant lying, disgraceful commentary, and lack of ingenuity. We the people are sick of you!",Ssqy6u1vREw,1.0,1.0
@dondalio2,He won despite your best efforts ABC!! 😂,Ssqy6u1vREw,1.0,0.0
@daxota_6750,Its like everyone forgot he was ALREADY OUR PRESIDENT AND NOTHING CRAZY HAPPENED,Ssqy6u1vREw,1.0,0.0
@cathywestgate8040,"This is because of all of you fake news reporters and fake news stations. MSNBC, ABC, CNN, NBC, CBS. You are the ones dividing our country.  Stop the lies. Stop the lies now!",Ssqy6u1vREw,0.0,0.0
@bobd642,He has to point out the Trump will have non consecutive terms.<br>That is a perfect example of how stupid Americans are.,Ssqy6u1vREw,0.0,0.0
@tonytravelerroute66,Thank you David Muir! Fact check that you mother fucker!,Ssqy6u1vREw,0.0,0.0
@critterfestsanctuary2446,No more clicks and views for you losers. We will NEVER forget the BS you have spun in this election.,Ssqy6u1vREw,0.0,0.0
@Astrithor,"Dude, more time for Kamala to &quot;introduce herself&quot;? HERSELF WAS THE ISSUE! She was a terrible candidate, worse than Hillary, and your machine installed her anyway, because you hate the American people. Lets go, Trump! MAGA!",Ssqy6u1vREw,0.0,0.0
@diaatkin5059,❤❤❤❤ TRUMP ❤❤❤❤ PEACE LOVE ❤❤❤❤,Ssqy6u1vREw,0.0,0.0
@Avagardner2608,The best breaking News ABC News ever gave us,Ssqy6u1vREw,0.0,0.0
@aztek2706,Lols,Ssqy6u1vREw,0.0,0.0
@GeoffFilutze,"Face it...democrats are fragile. They need to be lied to, then act shocked  that they were lied to by legacy media",Ssqy6u1vREw,0.0,0.0
@rfergy77ify,Projected. You mean elected. 😂😂,Ssqy6u1vREw,0.0,0.0
@Tcsotac27,Say it Manure TRUMP is your PRESIDENT!!!😂,Ssqy6u1vREw,0.0,0.0
@cmarie5355,making excuses for the Dems already.,Ssqy6u1vREw,0.0,0.0
@garycoleman3885,😂🎉😂 hahahaha trump won you fake news looks like you were crying hugging your pillow all night,Ssqy6u1vREw,0.0,0.0
@pegatheetoo1437,"After listening (unwillingly) to your radio news, I know how much you hate Pres Trump (the why would be very interesting)!    Anyway, I&#39;m curious about what your plans are for your first impeachment attempt on him for this term?  Or are you planning something much more drastic?    You have GOT to be pretty desperate by now!",Ssqy6u1vREw,0.0,0.0
@TXVETJEB,4 hous late. It took them over 4 hours after everyone knew the outcome before they could bring themselves to admit Trump won.  ABC is a disgrace.,Ssqy6u1vREw,0.0,0.0
@Nathan-mw8bv,Hey democrats today is your vote,Ssqy6u1vREw,2.0,0.0
@Mike-v4c5l,"All the campaign bs meant nothing, they both had four years to show the voters what they needed to know.",Ssqy6u1vREw,0.0,0.0
@jamesberggren9029,Kamala had onlyn107 days to introduce yourself?? Shes been auditioning for the job for almost 4 years,Ssqy6u1vREw,0.0,0.0
@IamQueenKF,I am here to see ABC meltdown 😂,Ssqy6u1vREw,2.0,0.0
@cruzinthruspace,People jumping up for joy <br>Jumping for joy as our rights get taken away,Ssqy6u1vREw,0.0,0.0
@tonirodriguez6649,YOU MSM have done nothing but fan the flames of divisiveness.<br>You are all officially irrelevant 👎👋,Ssqy6u1vREw,0.0,0.0
@Fishing4life1997,keywords “greatest political comeback in American History”,Ssqy6u1vREw,2.0,0.0
@user-cb2427,"Maybe we can make excuses on how we could have won, if she would have gone to the basement and let us tell all the lies she may have fared better",Ssqy6u1vREw,0.0,0.0
@getit9066,"Closest race ever, promise!!",Ssqy6u1vREw,0.0,0.0
@aidancreager4095,Here say F the Fake News 😂,Ssqy6u1vREw,0.0,0.0
@jasy2489,All kamala had to do differently was a sit down interview with Joe Rogan😂,Ssqy6u1vREw,0.0,0.0
@surfrats,"Too big to rig, baby!!!!!!!!!",Ssqy6u1vREw,0.0,0.0
